цена;возраст;мощность;кузов;"цена;возраст;мощность;кузов"
11890;12;116;не седан;"11890;12;116;не седан"
2900;23;170;не седан;"2900;23;170;не седан"
19750;17;305;не седан;"19750;17;305;не седан"
9800;17;150;не седан;"9800;17;150;не седан"
1990;20;80;не седан;"1990;20;80;не седан"
10500;17;150;не седан;"10500;17;150;не седан"
11000;11;131;седан;"11000;11;131;седан"
2390;23;197;не седан;"2390;23;197;не седан"
16449;8;110;не седан;"16449;8;110;не седан"
3000;7;75;не седан;"3000;7;75;не седан"
14300;12;120;седан;"14300;12;120;седан"
5999;14;80;не седан;"5999;14;80;не седан"
3700;20;179;не седан;"3700;20;179;не седан"
8999;16;105;не седан;"8999;16;105;не седан"
2790;31;90;седан;"2790;31;90;седан"
13400;15;170;седан;"13400;15;170;седан"
4900;17;102;не седан;"4900;17;102;не седан"
11299;17;250;седан;"11299;17;250;седан"
550;26;75;не седан;"550;26;75;не седан"
1400;17;88;не седан;"1400;17;88;не седан"
9500;12;131;не седан;"9500;12;131;не седан"
1800;24;90;не седан;"1800;24;90;не седан"
2800;5;75;не седан;"2800;5;75;не седан"
1350;21;60;не седан;"1350;21;60;не седан"
11000;17;231;не седан;"11000;17;231;не седан"
1999;7;110;не седан;"1999;7;110;не седан"
6900;17;163;не седан;"6900;17;163;не седан"
12999;15;179;не седан;"12999;15;179;не седан"
18400;12;313;не седан;"18400;12;313;не седан"
999;28;75;седан;"999;28;75;седан"
12899;14;140;не седан;"12899;14;140;не седан"
10500;13;143;седан;"10500;13;143;седан"
2250;22;41;не седан;"2250;22;41;не седан"
8500;13;80;седан;"8500;13;80;седан"
14900;16;265;седан;"14900;16;265;седан"
500;29;75;не седан;"500;29;75;не седан"
1200;21;45;не седан;"1200;21;45;не седан"
1250;27;125;седан;"1250;27;125;седан"
370;31;54;не седан;"370;31;54;не седан"
1000;24;165;не седан;"1000;24;165;не седан"
350;30;88;седан;"350;30;88;седан"
8600;16;197;не седан;"8600;16;197;не седан"
2222;32;98;не седан;"2222;32;98;не седан"
850;38;54;не седан;"850;38;54;не седан"
11800;18;218;седан;"11800;18;218;седан"
4000;15;115;не седан;"4000;15;115;не седан"
4650;18;150;не седан;"4650;18;150;не седан"
1450;24;75;не седан;"1450;24;75;не седан"
900;6;60;не седан;"900;6;60;не седан"
800;21;115;не седан;"800;21;115;не седан"
1600;23;90;не седан;"1600;23;90;не седан"
2800;19;75;седан;"2800;19;75;седан"
5499;19;122;не седан;"5499;19;122;не седан"
5500;23;170;седан;"5500;23;170;седан"
1000;41;41;не седан;"1000;41;41;не седан"
3750;18;75;не седан;"3750;18;75;не седан"
1440;20;109;не седан;"1440;20;109;не седан"
1150;23;75;не седан;"1150;23;75;не седан"
15700;12;170;седан;"15700;12;170;седан"
899;28;102;не седан;"899;28;102;не седан"
9200;17;150;не седан;"9200;17;150;не седан"
3350;23;130;не седан;"3350;23;130;не седан"
2700;17;75;не седан;"2700;17;75;не седан"
800;22;114;не седан;"800;22;114;не седан"
9800;15;140;седан;"9800;15;140;седан"
14700;11;211;седан;"14700;11;211;седан"
1200;26;101;седан;"1200;26;101;седан"
895;28;75;седан;"895;28;75;седан"
950;28;54;не седан;"950;28;54;не седан"
8000;17;177;седан;"8000;17;177;седан"
6799;21;286;седан;"6799;21;286;седан"
500;24;56;не седан;"500;24;56;не седан"
11919;11;90;не седан;"11919;11;90;не седан"
300;30;90;не седан;"300;30;90;не седан"
10800;13;105;не седан;"10800;13;105;не седан"
650;21;101;седан;"650;21;101;седан"
800;23;118;не седан;"800;23;118;не седан"
1690;22;75;не седан;"1690;22;75;не седан"
3650;19;113;не седан;"3650;19;113;не седан"
4850;14;75;не седан;"4850;14;75;не седан"
4500;16;140;не седан;"4500;16;140;не седан"
3900;20;131;не седан;"3900;20;131;не седан"
750;23;101;не седан;"750;23;101;не седан"
5900;24;184;седан;"5900;24;184;седан"
1100;23;116;седан;"1100;23;116;седан"
8400;14;201;не седан;"8400;14;201;не седан"
800;25;75;седан;"800;25;75;седан"
14950;14;140;не седан;"14950;14;140;не седан"
14900;19;170;не седан;"14900;19;170;не седан"
2950;25;235;седан;"2950;25;235;седан"
12000;12;101;не седан;"12000;12;101;не седан"
2500;22;150;не седан;"2500;22;150;не седан"
2400;22;115;не седан;"2400;22;115;не седан"
4600;6;109;не седан;"4600;6;109;не седан"
6000;28;286;не седан;"6000;28;286;не седан"
8950;11;95;не седан;"8950;11;95;не седан"
150;7;75;не седан;"150;7;75;не седан"
18700;14;213;не седан;"18700;14;213;не седан"
9500;11;69;седан;"9500;11;69;седан"
11550;14;140;не седан;"11550;14;140;не седан"
2400;34;102;седан;"2400;34;102;седан"
16150;12;150;не седан;"16150;12;150;не седан"
3000;23;179;не седан;"3000;23;179;не седан"
5500;19;90;седан;"5500;19;90;седан"
2000;19;122;седан;"2000;19;122;седан"
300;25;58;не седан;"300;25;58;не седан"
890;23;107;седан;"890;23;107;седан"
2390;7;83;не седан;"2390;7;83;не седан"
1699;24;75;седан;"1699;24;75;седан"
2899;27;69;не седан;"2899;27;69;не седан"
4800;19;75;седан;"4800;19;75;седан"
6799;15;174;седан;"6799;15;174;седан"
3400;20;100;не седан;"3400;20;100;не седан"
2650;19;125;седан;"2650;19;125;седан"
1000;24;107;не седан;"1000;24;107;не седан"
800;26;125;не седан;"800;26;125;не седан"
5299;21;220;не седан;"5299;21;220;не седан"
7150;21;150;седан;"7150;21;150;седан"
2300;17;88;не седан;"2300;17;88;не седан"
5500;17;140;не седан;"5500;17;140;не седан"
4400;26;54;не седан;"4400;26;54;не седан"
7950;15;140;седан;"7950;15;140;седан"
16500;16;265;не седан;"16500;16;265;не седан"
8100;19;170;не седан;"8100;19;170;не седан"
3999;6;85;не седан;"3999;6;85;не седан"
9750;10;75;не седан;"9750;10;75;не седан"
7700;14;185;седан;"7700;14;185;седан"
2500;24;88;не седан;"2500;24;88;не седан"
1195;24;54;не седан;"1195;24;54;не седан"
9790;9;73;не седан;"9790;9;73;не седан"
1849;24;54;не седан;"1849;24;54;не седан"
3300;17;41;не седан;"3300;17;41;не седан"
650;32;77;не седан;"650;32;77;не седан"
2600;25;170;не седан;"2600;25;170;не седан"
11700;15;170;не седан;"11700;15;170;не седан"
600;25;90;не седан;"600;25;90;не седан"
4950;14;109;не седан;"4950;14;109;не седан"
1600;20;50;не седан;"1600;20;50;не седан"
8499;17;150;не седан;"8499;17;150;не седан"
1700;24;101;седан;"1700;24;101;седан"
5750;13;90;седан;"5750;13;90;седан"
600;22;75;не седан;"600;22;75;не седан"
8700;19;170;седан;"8700;19;170;седан"
1200;24;125;не седан;"1200;24;125;не седан"
18880;9;116;не седан;"18880;9;116;не седан"
11200;15;177;не седан;"11200;15;177;не седан"
3900;20;75;не седан;"3900;20;75;не седан"
13849;13;143;седан;"13849;13;143;седан"
13200;10;105;не седан;"13200;10;105;не седан"
2500;22;101;не седан;"2500;22;101;не седан"
2550;17;54;не седан;"2550;17;54;не седан"
3900;17;102;не седан;"3900;17;102;не седан"
2450;22;231;седан;"2450;22;231;седан"
500;27;45;не седан;"500;27;45;не седан"
750;25;90;не седан;"750;25;90;не седан"
1799;24;116;не седан;"1799;24;116;не седан"
8150;11;75;не седан;"8150;11;75;не седан"
3900;19;192;не седан;"3900;19;192;не седан"
9999;9;90;не седан;"9999;9;90;не седан"
500;22;131;не седан;"500;22;131;не седан"
699;31;66;седан;"699;31;66;седан"
999;29;115;не седан;"999;29;115;не седан"
6250;20;299;седан;"6250;20;299;седан"
16500;40;218;не седан;"16500;40;218;не седан"
6500;16;125;седан;"6500;16;125;седан"
1200;7;75;не седан;"1200;7;75;не седан"
1480;23;74;не седан;"1480;23;74;не седан"
1490;23;60;не седан;"1490;23;60;не седан"
